"NON ALLOWABLE RENT","A","-68627","HLA LAB","112", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-59573","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-252780","NON ALLOW OH","194", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-30111","NON ALLOWABLE A&G","194", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-398328","OCHSNER CLINIC","194", , , , , , , , , , , , , , , 
"LAB SAT TRANSFERS","A","-10192","LABORATORY","60", , , , , , , , , , , , , , , 
"BLOOD BANK SAT TRANSFERS","A","-410","BLOOD STORING  PROCESSING & TRANS.","63", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-2728","RADIOLOGY-THERAPEUTIC","55", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-39000","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-46800","HEART ACQUISITION","106", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-70200","LIVER ACQUISITION","107", , , , , , , , , , , , , , , 
"ADMINISTRATIVE-EXEC SALARY ADJUSTMEN","A","-2388558","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"ADMIN EXEC SALARY-EDUCATION","A","-1115853","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"ADMIN EXEC SALARY-RESEARCH","A","-622047","NON ALLOW OH","194", , , , , , , , , , , , , , , 
"ADMIN SALARY- PB CLINICS","A","-2116361","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"NURSE PRACT","A","-120099","PEDIATRIC INTENSIVE CAR","35", , , , , , , , , , , , , , , 
"NURSE PRACT","A","-1804758","NEONATAL INTENSIVE CARE UNIT","35", , , , , , , , , , , , , , , 
"NURSE PRACT","A","-9502","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"NURSE PRACT","A","-535024","CARDIAC CATHETERIZATION","59", , , , , , , , , , , , , , , 
"NURSE PRACT","A","-35892","EMERGENCY","91", , , , , , , , , , , , , , , 
"CONSULTING FEES","A","-47484","SUBPROVIDER - IRF","41", , , , , , , , , , , , , , , 
"LEGAL FEES","A","-2806","DIETARY","10", , , , , , , , , , , , , , , 
"LEGAL FEES","A","-39501","SKILLED NURSING FACILITY","44", , , , , , , , , , , , , , , 
"LEGAL FEES","A","-40","LABORATORY","60", , , , , , , , , , , , , , , 
"LEGAL FEES","A","-10","DRUGS CHARGED TO PATIENTS","73", , , , , , , , , , , , , , , 
"NET LOSS ANES - OMC NORTHSHORE","A","1608641","OCHSNER CLINIC","194", , , , , , , , , , , , , , , 
"NET LOSS ANES - OMC KENNER","A","22605","OCHSNER CLINIC","194", , , , , , , , , , , , , , , 
"PURCHASE DISCOUNT-SMITH AND NEPHEW","A","-2119","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A810000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","Amount of","included in","Adjustments","Wkst.","", , , , , , , , , , , 
"","","","","Allowable","Wkst. A","(col. 4 minus","A-7","", , , , , , , , , , , 
"","Line No.","Cost Center","Expense Items","Cost","column 5","col. 5) *","Ref.","", , , , , , , , , , , 
"","1","2","3","4","5","6","7","", , , , , , , , , , , 
 ,"Entity[563455] Report(A810000[00100])","Entity[563455] Report(A810000[00200])","Entity[563455] Report(A810000[00300])","Entity[563455] Report(A810000[00400])","Entity[563455] Report(A810000[00500])","Entity[563455] Report(A810000[00600])","Entity[563455] Report(A810000[00700])", , , , , , , , , , , , 
 ,"5","ADMITTING","BRENTHOUSE","30","401","-371", , , , , , , , , , , , , 
 ,"5","OTHER ADMIN + GENERAL","BRENTHOUSE","29592","42678","-13086", , , , , , , , , , , , , 
 ,"10","DIETARY","BRENTHOUSE","183","2408","-2225", , , , , , , , , , , , , 
 ,"13","NURSING ADMINISTRATION","BRENTHOUSE","16695","184779","-168084", , , , , , , , , , , , , 
 ,"17","SOCIAL SERVICE","BRENTHOUSE","259","2693","-2434", , , , , , , , , , , , , 
 ,"21","I&R SERVICES-SALARY & FRINGES APPRV","BRENTHOUSE","98067","187614","-89547", , , , , , , , , , , , , 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","BRENTHOUSE","46","602","-556", , , , , , , , , , , , , 
 ,"23","CLINICAL PASTORAL ED","BRENTHOUSE","328","4315","-3987", , , , , , , , , , , , , 
 ,"30","ADULTS & PEDIATRICS","BRENTHOUSE","9118","100293","-91175", , , , , , , , , , , , , 
 ,"31","INTENSIVE CARE UNIT","BRENTHOUSE","800","8800","-8000", , , , , , , , , , , , , 
 ,"32","CORONARY CARE UNIT","BRENTHOUSE","1875","19928","-18053", , , , , , , , , , , , , 
 ,"35","PEDIATRIC INTENSIVE CAR","BRENTHOUSE","23","301","-278", , , , , , , , , , , , , 
 ,"35","NEONATAL INTENSIVE CARE UNIT","BRENTHOUSE","1159","13325","-12166", , , , , , , , , , , , , 
 ,"40","SUBPROVIDER - IPF","BRENTHOUSE","25508","35532","-10024", , , , , , , , , , , , , 
 ,"50","OPERATING ROOM","BRENTHOUSE","6220","26440","-20220", , , , , , , , , , , , , 
 ,"52","DELIVERY ROOM & LABOR ROOM","BRENTHOUSE","8","100","-92", , , , , , , , , , , , , 
 ,"53","ANESTHESIOLOGY","BRENTHOUSE","191","3129","-2938", , , , , , , , , , , , , 
 ,"54","RADIOLOGY-DIAGNOSTIC","BRENTHOUSE","3040","6725","-3685", , , , , , , , , , , , , 
 ,"54","PET IMAGINING","BRENTHOUSE","15","268","-253", , , , , , , , , , , , , 
 ,"57","CT SCAN","BRENTHOUSE","15","201","-186", , , , , , , , , , , , , 
 ,"58","MRI","BRENTHOUSE","15","178","-163", , , , , , , , , , , , , 
 ,"59","CARDIAC CATHETERIZATION","BRENTHOUSE","1791","16294","-14503", , , , , , , , , , , , , 
 ,"65","RESPIRATORY THERAPY","BRENTHOUSE","4025","44822","-40797", , , , , , , , , , , , , 
 ,"69","ELECTROCARDIOLOGY","BRENTHOUSE","15","201","-186", , , , , , , , , , , , , 
 ,"73","DRUGS CHARGED TO PATIENTS","BRENTHOUSE","4611","7723","-3112", , , , , , , , , , , , , 
 ,"74","RENAL DIALYSIS","BRENTHOUSE","587","6487","-5900", , , , , , , , , , , , , 
 ,"75","SLEEP LAB","BRENTHOUSE","15","201","-186", , , , , , , , , , , , , 
 ,"50","OPERATING ROOM","BRENTHOUSE","15","178","-163", , , , , , , , , , , , , 
 ,"76","PARTIAL HOSP PROGRAM","BRENTHOUSE","20236","28188","-7952", , , , , , , , , , , , , 
 ,"90","CANCER CENTER CLINIC","BRENTHOUSE","15","268","-253", , , , , , , , , , , , , 
 ,"90","GI CLINIC","BRENTHOUSE","8","100","-92", , , , , , , , , , , , , 
 ,"90","NEUROLOGY CLINIC","BRENTHOUSE","30","469","-439", , , , , , , , , , , , , 
 ,"90","OB GYN CLINIC","BRENTHOUSE","1082","15130","-14048", , , , , , , , , , , , , 
 ,"90","OPTHALMOLOGY CLINIC","BRENTHOUSE","2842","4048","-1206", , , , , , , , , , , , , 
 ,"90","ORTHOPEDIC CLINIC","BRENTHOUSE","137","1442","-1305", , , , , , , , , , , , , 
 ,"90","PEDIATRIC CLINIC","BRENTHOUSE","3013","4444","-1431", , , , , , , , , , , , , 
 ,"90","PRIMARY CARE CLINIC","BRENTHOUSE","35091","50554","-15463", , , , , , , , , , , , , 
 ,"90","PSYCHIATRY CLINIC","BRENTHOUSE","112858","157456","-44598", , , , , , , , , , , , , 
 ,"90","SURGERY CLINIC","BRENTHOUSE","91","1407","-1316", , , , , , , , , , , , , 
 ,"90","TRANSPLANT - HEART","BRENTHOUSE","1817","14856","-13039","9", , , , , , , , , , , , 
 ,"90","TRANSPLANT - LIVER","BRENTHOUSE","38366","116978","-78612","9", , , , , , , , , , , , 
 ,"90","TRANSPLANT - LUNG","BRENTHOUSE","9807","35949","-26142", , , , , , , , , , , , , 
 ,"90","TRANSPLANT - KIDNEY/PANCREAS","BRENTHOUSE","23","301","-278", , , , , , , , , , , , , 
 ,"90","TRANSPLANT - BONE MARROW","BRENTHOUSE","44270","135889","-91619", , , , , , , , , , , , , 
 ,"90","TRANSPLANT - MED SUPPORT","BRENTHOUSE","46288","193015","-146727", , , , , , , , , , , , , 
 ,"91","EMERGENCY","BRENTHOUSE","9232","106005","-96773", , , , , , , , , , , , , 
 ,"95","AMBULANCE SERVICES","BRENTHOUSE","175","1789","-1614", , , , , , , , , , , , , 
 ,"194","NON ALLOW OH","BRENTHOUSE","13922","20067","-6145", , , , , , , , , , , , , 
 ,"194","NON ALLOWABLE A&G","BRENTHOUSE","8","100","-92", , , , , , , , , , , , , 
 ,"194","NON ALLOWABLE O/P PHARMACY","BRENTHOUSE","30","401","-371", , , , , , , , , , , , , 
 ,"194","OCHSNER CLINIC","BRENTHOUSE","5326","55134","-49808", , , , , , , , , , , , , 
 ,"194","BOARD DESIGNATED/RESTRICT","BRENTHOUSE","9600","103182","-93582", , , , , , , , , , , , , 
 ,"1","CAP REL COSTS-BLDG & FIXT","HOME OFFICE FUNCTIONAL","3138857", ,"3138857","9", , , , , , , , , , , , 
 ,"1","NEW CAPITAL-RESEARCH BUIL","HOME OFFICE FUNCTIONAL","775", ,"775","9", , , , , , , , , , , , 
 ,"5","OTHER ADMIN + GENERAL","HOME OFFICE FUNCTIONAL","34943050","262427312","-227484262", , , , , , , , , , , , , 
 ,"10","DIETARY","HOME OFFICE FUNCTIONAL","907350", ,"907350", , , , , , , , , , , , , 
 ,"16","MEDICAL RECORDS & LIBRARY","HOME OFFICE FUNCTIONAL","13884062", ,"13884062", , , , , , , , , , , , , 
 ,"9","HOUSEKEEPING","HOME OFFICE FUNCTIONAL","7803359", ,"7803359", , , , , , , , , , , , , 
 ,"4","EMPLOYEE BENEFITS DEPARTMENT","HOME OFFICE FUNCTIONAL","7348069", ,"7348069", , , , , , , , , , , , , 
 ,"5","DATA PROCESSING","HOME OFFICE FUNCTIONAL","16125745", ,"16125745", , , , , , , , , , , , , 
 ,"8","LAUNDRY & LINEN SERVICE","HOME OFFICE FUNCTIONAL","847", ,"847", , , , , , , , , , , , , 
 ,"5","CASHIERING  A/R","HOME OFFICE FUNCTIONAL","35520099", ,"35520099", , , , , , , , , , , , , 
 ,"6","MAINTENANCE & REPAIRS","HOME OFFICE FUNCTIONAL","14034426", ,"14034426", , , , , , , , , , , , , 
 ,"5","PURCH  RCVING  STORING","HOME OFFICE FUNCTIONAL","3174299", ,"3174299", , , , , , , , , , , , , 
 ,"5","NONPATIENT TELEPHONE","HOME OFFICE FUNCTIONAL","1060570", ,"1060570", , , , , , , , , , , , , 
 ,"13","NURSING ADMINISTRATION","HOME OFFICE FUNCTIONAL", ,"2174","-2174", , , , , , , , , , , , , 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","HOME OFFICE FUNCTIONAL", ,"9646","-9646", , , , , , , , , , , , , 
 ,"55","RADIOLOGY-THERAPEUTIC","HOME OFFICE FUNCTIONAL", ,"164","-164", , , , , , , , , , , , , 
 ,"60","LABORATORY","HOME OFFICE FUNCTIONAL", ,"50164","-50164", , , , , , , , , , , , , 
 ,"194","NON ALLOW OH","HOME OFFICE FUNCTIONAL", ,"10130","-10130", , , , , , , , , , , , , 
 ,"194","OCHSNER CLINIC","HOME OFFICE FUNCTIONAL", ,"5198","-5198", , , , , , , , , , , , , 
 ,"5","OTHER ADMIN + GENERAL","HOME OFFICE FUNCTIONAL","3983108", ,"3983108", , , , , , , , , , , , , 
 ,"1","CAP REL COSTS-BLDG & FIXT","HOME OFFICE POOLED","4696596", ,"4696596","9", , , , , , , , , , , , 
 ,"2","CAP REL COSTS-MVBLE EQUIP","HOME OFFICE POOLED","18298798", ,"18298798","9", , , , , , , , , , , , 
 ,"6","MAINTENANCE & REPAIRS","HOME OFFICE POOLED","1125860", ,"1125860", , , , , , , , , , , , , 
 , , , ,"166604383","264268576","-97664193", , , , , , , , , , , , , 
 ,"E","OCHSNER CLINIC FOUNDATION","100","BRENTHOUSE","100","HOTEL", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A820010 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","","",""," FROM ____________","","","", , , , , , , , , 
"","","","",""," ________________",""," TO _______________","","","", , , , , , , , , 
"","","Cost Center/","","","","","Physician/","","5 Percent of","", , , , , , , , , 
"","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted","", , , , , , , , , 
"","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit","", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","", , , , , , , , , 
 ,"Entity[563455] Report(A820010[00100])","Entity[563455] Report(A820010[00200])","Entity[563455] Report(A820010[00300])", ,"Entity[563455] Report(A820010[00500])","Entity[563455] Report(A820010[00600])","Entity[563455] Report(A820010[00700])","Entity[563455] Report(A820010[00800])","Entity[563455] Report(A820010[00900])", , ,"Entity[563455] Report(A820010[01200])","Entity[563455] Report(A820010[01300])", , ,"Entity[563455] Report(A820010[01600])","Entity[563455] Report(A820010[01700])","Entity[563455] Report(A820010[01800])", 
 ,"23","DR. A","17957", ,"17957","200300","96","9245","462", , ,"66","66", , ,"9311","8646","8646", 
 ,"23","DR. B","19523", ,"19523","177200","87","7412","371", , ,"30","30", , ,"7442","12081","12081", 
 ,"23","DR. C","72646", ,"72646","138700","675","45011","2251", , ,"124","124", , ,"45135","27511","27511", 
 ,"23","DR. D","14414", ,"14414","165600","112","8917","446", , ,"86","86", , ,"9003","5411","5411", 
 ,"23","DR. E","94701", ,"94701","208000","438","43800","2190", , ,"161","161", , ,"43961","50740","50740", 
 ,"23","DR. F","30522", ,"30522","196400","205","19357","968", , ,"41","41", , ,"19398","11124","11124", 
 ,"23","DR. G","6626", ,"6626","215700","38","3941","197", , ,"37","37", , ,"3978","2648","2648", 
 ,"23","DR. H","19532", ,"19532","140600","206","13925","696", , ,"74","74", , ,"13999","5533","5533", 
 ,"23","DR. I","67696", ,"67696","208000","508","50800","2540", , ,"27","27", , ,"50827","16869","16869", 
 ,"53","ANESTHESIOLOGY","1881901", ,"1881901","200300","10009","963847","48192", , ,"6888","6888", , ,"970735","911166","911166", 
 ,"50","OPERATING ROOM","122846", ,"122846","208000","508","50800","2540", , ,"206","206", , ,"51006","71840","71840", 
 ,"91","EMERGENCY","1496785", ,"1496785","177200","6657","567125","28356", , ,"2269","2269", , ,"569394","927391","927391", 
 ,"30","ADULTS & PEDIATRICS","169650", ,"169650","177200","1263","107598","5380", , ,"212","212", , ,"107810","61840","61840", 
 ,"30","ADULTS & PEDIATRICS","546359", ,"546359","138700","5074","338348","16917", , ,"935","935", , ,"339283","207076","207076", 
 ,"30","ADULTS & PEDIATRICS","3368022", ,"3368022","165600","26192","2085286","104264", , ,"20097","20097", , ,"2105383","1262639","1262639", 
 ,"30","ADULTS & PEDIATRICS","164524", ,"164524","177200","1632","139034","6952", , ,"1250","1250", , ,"140284","24240","24240", 
 ,"50","OPERATING ROOM","86809", ,"86809","208000","402","40200","2010", , ,"147","147", , ,"40347","46462","46462", 
 ,"52","DELIVERY ROOM & LABOR ROOM","337132", ,"337132","196400","2262","213585","10679", , ,"448","448", , ,"214033","123099","123099", 
 ,"90","OPTHALMOLOGY CLINIC","47558", ,"47558","208000","297","29700","1485", , ,"242","242", , ,"29942","17616","17616", 
 ,"90","OPTHALMOLOGY CLINIC","1092", ,"1092","208000","19","1900","95", , , , , , ,"1900", , , 
 ,"50","OPERATING ROOM","423421", ,"423421","208000","1890","189000","9450", , ,"954","954", , ,"189954","233467","233467", 
 ,"60","LABORATORY","1590210", ,"1590210","215700","9098","943480","47174", , ,"8889","8889", , ,"952369","637841","637841", 
 ,"30","ADULTS & PEDIATRICS","535786", ,"535786","140600","5652","382054","19103", , ,"2034","2034", , ,"384088","151698","151698", 
 ,"40","SUBPROVIDER - IPF","127242", ,"127242","154100","2170","160768","8038", , ,"602","602", , ,"161370", , , 
 ,"54","RADIOLOGY-DIAGNOSTIC","3912143", ,"3912143","225300","21965","2379190","118960", , ,"11035","11035", , ,"2390225","1521918","1521918", 
 ,"55","RADIOLOGY-THERAPEUTIC","56906", ,"56906","225300","278","30112","1506", , ,"315","315", , ,"30427","26479","26479", 
 ,"50","OPERATING ROOM","618627", ,"618627","208000","2743","274300","13715", , ,"1388","1388", , ,"275688","342939","342939", 
 ,"50","OPERATING ROOM","255462", ,"255462","208000","4902","490200","24510", , ,"861","861", , ,"491061", , , 
 ,"41","SUBPROVIDER - IRF","170467", ,"170467","177200","1434","122166","6108", , ,"372","372", , ,"122538","47929","47929", 
 ,"30","ADULTS & PEDIATRICS","59887", ,"59887","177200","562","47878","2394", , ,"138","138", , ,"48016","11871","11871", 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
