"TEFRA TIME SALARY","AA", ,"76","159933", , ,"191","23761", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"90","7176417", , ,"192","9818053", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"91","55611", , , , , , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"94","3204", , , , , , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"190","7317", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AB0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AB0[00000])","Entity[572875] Report(A600AB0[00100])", ,"Entity[572875] Report(A600AB0[00300])", ,"Entity[572875] Report(A600AB0[00500])", ,"Entity[572875] Report(A600AB0[00700])", ,"Entity[572875] Report(A600AB0[00900])", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"4", ,"12826", ,"5", ,"55100", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"5", ,"4945", ,"14", ,"30212", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"5", ,"5584", ,"21", ,"10502591", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"5", ,"342964", ,"30", ,"77530", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"16", ,"2232", ,"50", ,"274631", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"17", ,"1192", ,"53", ,"761456", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"18", ,"1655", ,"54", ,"57392", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"18", ,"13487158", ,"55", ,"148811", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"35", ,"1913", ,"58", ,"61349", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"52", ,"106033", ,"60", ,"904141", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"59", ,"79320", ,"63", ,"38521", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"70", ,"34411", ,"69", ,"74609", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"74", ,"8722", ,"77", ,"10034", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"76", ,"71634", ,"191", ,"10643", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"90", ,"3214317", ,"192", ,"4397506", , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"91", ,"24908", , , , , , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"94", ,"1435", , , , , , , , , , , , , , 
"TEFRA TIME OTHER EXPENSE","AB", ,"190", ,"3277", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AC0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AC0[00000])","Entity[572875] Report(A600AC0[00100])", ,"Entity[572875] Report(A600AC0[00300])","Entity[572875] Report(A600AC0[00400])", , ,"Entity[572875] Report(A600AC0[00700])","Entity[572875] Report(A600AC0[00800])", , , , , , , , , , , 
"MED STAFF ADMIN SALARY","AC", ,"18","1350419", , ,"21","1350419", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AD0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AD0[00000])","Entity[572875] Report(A600AD0[00100])", ,"Entity[572875] Report(A600AD0[00300])", ,"Entity[572875] Report(A600AD0[00500])", ,"Entity[572875] Report(A600AD0[00700])", ,"Entity[572875] Report(A600AD0[00900])", , , , , , , , , , 
"MED STAFF ADMIN OTHER EXPENSE","AD", ,"18", ,"604853", ,"21", ,"604853", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AE0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AE0[00000])","Entity[572875] Report(A600AE0[00100])", ,"Entity[572875] Report(A600AE0[00300])","Entity[572875] Report(A600AE0[00400])", , ,"Entity[572875] Report(A600AE0[00700])","Entity[572875] Report(A600AE0[00800])", , , , , , , , , , , 
"DIETARY INTERNS SALARY","AE", ,"23","236583", , ,"10","143888", , , , , , , , , , , 
"DIETARY INTERNS SALARY","AE", , , , , ,"90","32704", , , , , , , , , , , 
"DIETARY INTERNS SALARY","AE", , , , , ,"191","59991", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AF0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AF0[00000])","Entity[572875] Report(A600AF0[00100])", ,"Entity[572875] Report(A600AF0[00300])","Entity[572875] Report(A600AF0[00400])", , ,"Entity[572875] Report(A600AF0[00700])","Entity[572875] Report(A600AF0[00800])", , , , , , , , , , , 
"PSYCHOLOGY INTERNS SALARY","AF", ,"23","275000", , ,"76","50000", , , , , , , , , , , 
"PSYCHOLOGY INTERNS SALARY","AF", , , , , ,"90","225000", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AG0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AG0[00000])","Entity[572875] Report(A600AG0[00100])", ,"Entity[572875] Report(A600AG0[00300])", ,"Entity[572875] Report(A600AG0[00500])", ,"Entity[572875] Report(A600AG0[00700])", ,"Entity[572875] Report(A600AG0[00900])", , , , , , , , , , 
"PSYCHOLOGY INTERNS OTHER EXPENSE","AG", ,"23", ,"102542", ,"76", ,"18644", , , , , , , , , , 
"PSYCHOLOGY INTERNS OTHER EXPENSE","AG", , , , , ,"90", ,"83898", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AH0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AH0[00000])","Entity[572875] Report(A600AH0[00100])", ,"Entity[572875] Report(A600AH0[00300])","Entity[572875] Report(A600AH0[00400])", , ,"Entity[572875] Report(A600AH0[00700])","Entity[572875] Report(A600AH0[00800])", , , , , , , , , , , 
"ADMINISTRATIVE FELLOWS SALARY","AH", ,"23","272410", , ,"5","272410", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AI0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AI0[00000])","Entity[572875] Report(A600AI0[00100])", ,"Entity[572875] Report(A600AI0[00300])", ,"Entity[572875] Report(A600AI0[00500])", ,"Entity[572875] Report(A600AI0[00700])", ,"Entity[572875] Report(A600AI0[00900])", , , , , , , , , , 
"ADMINISTRATIVE FELLOWS OTHER EXPENSE","AI", ,"23", ,"102208", ,"5", ,"102208", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AJ0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AJ0[00000])","Entity[572875] Report(A600AJ0[00100])", ,"Entity[572875] Report(A600AJ0[00300])","Entity[572875] Report(A600AJ0[00400])", , ,"Entity[572875] Report(A600AJ0[00700])","Entity[572875] Report(A600AJ0[00800])", , , , , , , , , , , 
"RESIDENT SALARY","AJ", ,"21","32398127", , ,"21","32398127", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AK0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AK0[00000])","Entity[572875] Report(A600AK0[00100])", ,"Entity[572875] Report(A600AK0[00300])", ,"Entity[572875] Report(A600AK0[00500])", ,"Entity[572875] Report(A600AK0[00700])", ,"Entity[572875] Report(A600AK0[00900])", , , , , , , , , , 
"RESIDENT OTHER EXPENSE","AK", ,"21", ,"7438610", ,"21", ,"7438610", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AL0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AL0[00000])","Entity[572875] Report(A600AL0[00100])", ,"Entity[572875] Report(A600AL0[00300])","Entity[572875] Report(A600AL0[00400])", , ,"Entity[572875] Report(A600AL0[00700])","Entity[572875] Report(A600AL0[00800])", , , , , , , , , , , 
"PARAMEDICAL PHARMACY SALARY","AL", ,"23","177665", , ,"15","177665", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AM0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AM0[00000])","Entity[572875] Report(A600AM0[00100])", ,"Entity[572875] Report(A600AM0[00300])", ,"Entity[572875] Report(A600AM0[00500])", ,"Entity[572875] Report(A600AM0[00700])", ,"Entity[572875] Report(A600AM0[00900])", , , , , , , , , , 
"PARAMEDICAL PHARMACY OTHER EXPENSE","AM", ,"23", ,"62658", ,"15", ,"62658", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AN0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AN0[00000])","Entity[572875] Report(A600AN0[00100])", ,"Entity[572875] Report(A600AN0[00300])","Entity[572875] Report(A600AN0[00400])", , ,"Entity[572875] Report(A600AN0[00700])","Entity[572875] Report(A600AN0[00800])", , , , , , , , , , , 
"PHARMACY TO RESEARCH SALARY","AN", ,"191","1152588", , ,"15","1152588", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AO0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AO0[00000])","Entity[572875] Report(A600AO0[00100])", ,"Entity[572875] Report(A600AO0[00300])", ,"Entity[572875] Report(A600AO0[00500])", ,"Entity[572875] Report(A600AO0[00700])", ,"Entity[572875] Report(A600AO0[00900])", , , , , , , , , , 
"PHARMACY TO RESEARCH OTHER EXPENSE","AO", ,"191", ,"432451", ,"15", ,"432451", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AP0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AP0[00000])","Entity[572875] Report(A600AP0[00100])", ,"Entity[572875] Report(A600AP0[00300])","Entity[572875] Report(A600AP0[00400])", , ,"Entity[572875] Report(A600AP0[00700])","Entity[572875] Report(A600AP0[00800])", , , , , , , , , , , 
"MEDICAL PHYSICS FELLOWSHIP SALARY","AP", ,"23","314110", , ,"55","314110", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AQ0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
