"Line(06800)", ,"5","OTHER ADMIN AND GENERAL","1532223", ,"1532223","154100","10809","800801","40040", , , , , , ,"800801","731422","731422"
"Line(06900)", ,"16","MEDICAL RECORDS & LIBRARY","102414", ,"102414","154100","991","73420","3671", , , , , , ,"73420","28994","28994"
"Line(07000)", ,"22","I & R SERVICES OTHER WPIC","3928022", ,"3928022","154100","48207","3571490","178575", , , , , , ,"3571490","356532","356532"
"Line(07100)", ,"40","SUBPROVIDER - IPF","2938691", ,"2938691","154100","31940","2366324","118316", , , , , , ,"2366324","572367","572367"
"Line(07200)", ,"69","WPIC-INTERNAL MEDICINE","386718","335425","51293","154100","432","32005","1600", , , , , , ,"32005","19288","354713"
"Line(07300)", ,"70","ELECTROENCEPHALOGRAPHY","26357","15232","11125","154100","1","74","4", , , , , , ,"74","11051","26283"
"Line(07400)", ,"76","WPIC DEC","1155514", ,"1155514","154100","9425","698266","34913", , , , , , ,"698266","457248","457248"
"Line(07500)", ,"76","WPIC GERIATRICS","277453", ,"277453","154100","3068","227298","11365", , , , , , ,"227298","50155","50155"
"Line(07600)", ,"76","WPIC AYA","747771", ,"747771","154100","9919","734864","36743", , , , , , ,"734864","12907","12907"
"Line(07700)", ,"76","WPIC BEHAVIORAL MED","76720", ,"76720","154100","726","53787","2689", , , , , , ,"53787","22933","22933"
"Line(07800)", ,"76","WPIC D & A","348668", ,"348668","154100","4930","365247","18262", , , , , , ,"365247"
"Line(07900)", ,"76","WPIC SPEC CHILD THERAPY","114931", ,"114931","154100","1262","93497","4675", , , , , , ,"93497","21434","21434"
"Line(08000)", ,"76","WPIC AFF DISORDERS","704943", ,"704943","154100","8581","635737","31787", , , , , , ,"635737","69206","69206"
"Line(08100)", ,"76","WPIC SCHIZOPHRENIA","630152", ,"630152","154100","7220","534905","26745", , , , , , ,"534905","95247","95247"
"Line(08200)", ,"76","WPIC ECT","20864", ,"20864","154100","192","14225","711", , , , , , ,"14225","6639","6639"
"Line(08300)", ,"90","WPIC PSY OUTREACH","324328", ,"324328","154100","2364","175141","8757", , , , , , ,"175141","149187","149187"
"Line(08400)", ,"90","WPIC MEDICAT CLINIC","1854", ,"1854","154100","1","74","4", , , , , , ,"74","1780","1780"
"Line(08500)", ,"90","WPIC HILL SATELLITES","45227", ,"45227","154100","366","27116","1356", , , , , , ,"27116","18111","18111"
"Line(08600)", ,"90","WPIC O/P SATELLITES","134895", ,"134895","154100","1387","102758","5138", , , , , , ,"102758","32137","32137"
"Line(08700)", ,"90","WPIC PRTL PGM ADULT","29966", ,"29966","154100","429","31783","1589", , , , , , ,"31783"
"Line(08800)", ,"90","WPIC PRTL PGM CHILD","156606", ,"156606","154100","1755","130022","6501", , , , , , ,"130022","26584","26584"
"Line(08900)", ,"90","WPIC CACTIS PROGRAM","617022", ,"617022","154100","3766","279010","13951", , , , , , ,"279010","338012","338012"
"Line(09000)", ,"90","WPIC ICM/RC","372460", ,"372460","154100","3490","258562","12928", , , , , , ,"258562","113898","113898"
"Line(09100)", ,"90","WPIC RESIDENTAIL TREATMENT","92865", ,"92865","154100","908","67271","3364", , , , , , ,"67271","25594","25594"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
