"FILE 300.37 MISC OTHER OPER REVENUE","B","-48153","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-15815","CAROLINAS REHABILITATION","194", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-534","UNIVERSITY HOSPITAL","194", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-71580","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-22909","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 300.37 COMPUTER SERVICE REV","B","-900","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.37 PARKING LOT REVENUE","B","-484104","OPERATION OF PLANT","7", , , , , , , , , , , , , , , 
"FILE 300.37 PARKING LOT REVENUE","B","75","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.37 PHARMACY SALES REVENUE","B","-62051","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.37 PROGRAM SERVICES REV","B","-213800","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.37 PROGRAM SERVICES REV","B","-756","PARAMED CRNA","23", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-4785898","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-174431","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-40","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","1961","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-500","TRAUMA INTENSIVE CARE UNIT","34", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-950","MRI","58", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-1142","CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-255","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-71","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-1862","CLINIC - NORTHPARK","90", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-5495","WOMENS INSTITUTE","90", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-1000","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-2043","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.37 PURCHASE DISCOUNTS","B","-66","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 300.37 AFFILIATE SUPPORT","B","-116","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.37 AFFILIATE CONTRACT SVCS","B","-365887","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.37 AFFILIATE CONTRACT SVCS","B","-177418","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.37 AFFILIATE CONTRACT SVCS","B","-66500","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.37 AFFILIATE CONTRACT SVCS","B","-1268412","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"FILE 300.37 AFFILIATE CONTRACT SVCS","B","-4511","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.37 AFFILIATE CONTRACT SVCS","B","-232048","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.37 AFFILIATE CONTRACT SVCS","B","-23877","EMERGENCY-SUBPROVIDER","91", , , , , , , , , , , , , , , 
"FILE 300.37 AFFILIATE CONTRACT SVCS","B","-1166308","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.37 EYE REVENUE","B","-1430100","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"FILE 300.37 BONE TISSUE REVENUE","B","-1989100","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"FILE 300.37 STATISTICAL CONSULTING","B","467","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.37 RAD JOINT VENTURE","B","-761159","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.37 REF LAB REVENUE","B","-826656","LABORATORY","60", , , , , , , , , , , , , , , 
"FILE 300.37 REF LAB REVENUE","B","-55566","CYTOLOGY","60", , , , , , , , , , , , , , , 
"FILE 300.37 REF LAB REVENUE","B","-27848","LAB - TISSUE TYPING","60", , , , , , , , , , , , , , , 
"FILE 300.37 LTAC REVENUE","B","-1496","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.37 LTAC REVENUE","B","-385","RECOVERY ROOM","51", , , , , , , , , , , , , , , 
"FILE 300.37 LTAC REVENUE","B","-2995","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"FILE 300.37 LTAC REVENUE","B","-3158","ENDOSCOPY","76", , , , , , , , , , , , , , , 
"FILE 300.37 TUITION INCOME","B","-6921","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.37 TUITION INCOME","B","-1279739","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.37 TUITION INCOME","B","-307600","PARAMED CRNA","23", , , , , , , , , , , , , , , 
"FILE 300.37 TUITION INCOME","B","-4436","PASTORAL CARE","23", , , , , , , , , , , , , , , 
"FILE 300.37 BOOK REIMBURSEMENT","B","496","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.37 ACTIVITY FEES","B","-26105","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.37 APPLICATION FEES","B","-34326","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.37 APPLICATION FEES","B","-8080","PARAMED CRNA","23", , , , , , , , , , , , , , , 
"FILE 300.37 APPLICATION FEES","B","-364225","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.37 GRANT SET UP FEE","B","-476585","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.37 CONTRIBUTIONS","B","14500","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.37 SEMINARS & EDUCATION","B","-18435","EMPLOYEE BENEFITS DEPARTMENT","4", , , , , , , , , , , , , , , 
"FILE 300.37 SEMINARS & EDUCATION","B","-2620228","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.37 SEMINARS & EDUCATION","B","-27173","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.37 SEMINARS & EDUCATION","B","-17102","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.37 SEMINARS & EDUCATION","B","-81524","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"FILE 300.37 SEMINARS & EDUCATION","B","-30045","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.37 SEMINARS & EDUCATION","B","-5450","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.37 SEMINARS & EDUCATION","B","2000","UNDERGRAD MEDED","194", , , , , , , , , , , , , , , 
"FILE 300.37 OTHER NON-OPER REVENUE","B","-4616","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.37 OTHER NON-OPER REVENUE","B","-250","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-10357","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-897313","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-3800","SOCIAL SERVICE","17", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-258734","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-558882","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-444330","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-2692093","NEONATAL INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-1890","CVRU","32", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-17072","SUBPROVIDER - IRF","41", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-598696","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-135327","BONE MARROW TRANSPLANT","50", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-268484","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-647683","MENTAL HEALTH O/P CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-340841","CLINIC - CHILD OP RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-620074","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-4583946","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-355278","CLINIC - NORTHPARK","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-246814","TEEN HEALTH CONNECTION","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-89411","DIABETES CENTER","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-59286","PEDIATRIC AFTER HOURS CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-415744","CMC SURGERY","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-26243","CMC ORTHOPEDICS","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-200994","INFUSION CENTER","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-972407","PEDIATRIC ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-436488","CHF CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-948095","NEUROSCIENCE CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-1614618","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-654811","EMERGENCY-SUBPROVIDER","91", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-140159","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-838378","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-316","CAROLINAS REHABILITATION","194", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-107104","UNIVERSITY HOSPITAL","194", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-3491","DISASTER RELIEF","194", , , , , , , , , , , , , , , 
"FILE 300.23 MID-LEVEL PROVIDERS","A","-102159","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 605 CRNA SALARIES/BENEFITS","A","-23749094","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"FILE 605 CRNA SALARIES/BENEFITS","A","-6170015","EMPLOYEE BENEFITS DEPARTMENT","4", , , , , , , , , , , , , , , 
"FILE 644 GIFTS AND FLOWERS","A","-161420","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 608 INTERNAL TRANSPLANT COST","A","-4917256","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"FILE 608 INTERNAL TRANSPLANT COST","A","-649850","HEART ACQUISITION","106", , , , , , , , , , , , , , , 
"FILE 608 INTERNAL TRANSPLANT COST","A","-1399600","LIVER ACQUISITION","107", , , , , , , , , , , , , , , 
"FILE 827 SURGICAL SCHOOL","A","3622","PARAMED SURGICAL CARE","23", , , , , , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","A","38694","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 645 CMC-R DEPRECIATION","A","-344123","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 606 PLANNING AND CONSTRUCTION","A","302266","CAP REL COSTS-BLDG & FIXT","1","9", , , , , , , , , , , , , , 
"FILE 637 LOBBYING EXPENSE","A","-49291","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 637 LOBBYING EXPENSE","A","-1139","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"FILE 300.22 MARKETING/CONSULTING","A","-59","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
"FILE 300.22 RECRUITING EXPENSE","A","-240","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-145","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-8","DISASTER RELIEF","194", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO SEMINARS & EDUC","B","-1210","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-49280","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO AIR TRANSPORT","B","-8477","DISASTER RELIEF","194", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-102038","DISASTER RELIEF","194", , , , , , , , , , , , , , , 
"FILE 300.37 EXTERNAL REVENUE","B","-33120","DISASTER RELIEF","194", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-7414155","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-37760","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-1554334","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-632952","PARAMED CRNA","23", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-1571872","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-6592697","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-101700","NEONATAL INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-907541","PEDIATRIC INTENSIVE CARE UNIT","34", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-1942887","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-1562","CARDIAC CATHETERIZATION","59", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-7138","RESPIRATORY THERAPY","65", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-45734","ELECTROCARDIOLOGY","69", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-22200","ENDOSCOPY","76", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-5718","CARDIAC REHABILITATION","77", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-129905","CLINIC","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-720658","MENTAL HEALTH O/P CLINIC","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-343126","CLINIC - CHILD OP RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-345735","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-2690862","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-45000","CLINIC - DENTISTRY","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-107500","CLINIC - NORTHPARK","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-22782","WOMENS INSTITUTE","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-430775","POST TRANSPLANT CLINIC","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-19667","CMC SURGERY","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-519666","PEDIATRIC ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-1344543","CHF CLINIC","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-634850","NEUROSCIENCE CLINIC","90", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-630867","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 646 CANNON CAPITAL","B","130001","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 646 CANNON CAPITAL","A","492729","CAP REL COSTS-MVBLE EQUIP","2","9", , , , , , , , , , , , , , 
"FILE 824 X-RAY SCHOOL","A","148401","PARAMED X-RAY","23", , , , , , , , , , , , , , , 
"FILE 621 COUNTY PAID INTEREST","B","160880","CAP REL COSTS-BLDG & FIXT","1","11", , , , , , , , , , , , , , 
"FILE 641 MRI PLAN","A","-12586671","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-8276","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-109557","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-678546","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-864168","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-652149","UNIVERSITY HOSPITAL","194", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-25000","MERCY HOSPITAL SOUTH","194", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-307503","UNION REGIONAL MEDICAL CENTER","194", , , , , , , , , , , , , , , 
"FILE 624 INTERCO SPECIALIST","A","-13691","UNDERGRAD MEDED","194", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A810000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","Amount of","included in","Adjustments","Wkst.","", , , , , , , , , , , 
"","","","","Allowable","Wkst. A","(col. 4 minus","A-7","", , , , , , , , , , , 
"","Line No.","Cost Center","Expense Items","Cost","column 5","col. 5) *","Ref.","", , , , , , , , , , , 
"","1","2","3","4","5","6","7","", , , , , , , , , , , 
 ,"Entity[572851] Report(A810000[00100])","Entity[572851] Report(A810000[00200])","Entity[572851] Report(A810000[00300])","Entity[572851] Report(A810000[00400])","Entity[572851] Report(A810000[00500])","Entity[572851] Report(A810000[00600])", , , , , , , , , , , , , 
 ,"4","EMPLOYEE BENEFITS DEPARTMENT","HOME OFFICE COST","225","140","85", , , , , , , , , , , , , 
 ,"5","ADMINISTRATIVE & GENERAL","HOME OFFICE COST","207443414","187624602","19818812", , , , , , , , , , , , , 
 ,"7","OPERATION OF PLANT","HOME OFFICE COST","329152","297376","31776", , , , , , , , , , , , , 
 ,"8","LAUNDRY & LINEN SERVICE","HOME OFFICE COST","4498068","4112552","385516", , , , , , , , , , , , , 
 ,"9","HOUSEKEEPING","HOME OFFICE COST","147875","135480","12395", , , , , , , , , , , , , 
 ,"10","DIETARY","HOME OFFICE COST","75780","79867","-4087", , , , , , , , , , , , , 
 ,"13","NURSING ADMINISTRATION","HOME OFFICE COST","39443","40127","-684", , , , , , , , , , , , , 
 ,"14","CENTRAL SERVICES & SUPPLY","HOME OFFICE COST","97628","91066","6562", , , , , , , , , , , , , 
 ,"15","PHARMACY","HOME OFFICE COST","3468616","2354663","1113953", , , , , , , , , , , , , 
 ,"16","MEDICAL RECORDS & LIBRARY","HOME OFFICE COST","405066","346639","58427", , , , , , , , , , , , , 
 ,"17","SOCIAL SERVICE","HOME OFFICE COST","64121","58371","5750", , , , , , , , , , , , , 
 ,"18","VOLUNTEERS","HOME OFFICE COST","2840","2640","200", , , , , , , , , , , , , 
 ,"20","NURSING SCHOOL","HOME OFFICE COST","831354","936165","-104811", , , , , , , , , , , , , 
 ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","HOME OFFICE COST","625692","630752","-5060", , , , , , , , , , , , , 
 ,"23","PARAMED ED PRGM-(SPECIFY)","HOME OFFICE COST","261","255","6", , , , , , , , , , , , , 
 ,"23","PARAMED X-RAY","HOME OFFICE COST","326","319","7", , , , , , , , , , , , , 
 ,"23","PARAMED CRNA","HOME OFFICE COST","50318","56375","-6057", , , , , , , , , , , , , 
 ,"23","PASTORAL CARE","HOME OFFICE COST","65522","72666","-7144", , , , , , , , , , , , , 
 ,"23","PARAMED PHARMACY","HOME OFFICE COST","202","197","5", , , , , , , , , , , , , 
 ,"30","ADULTS & PEDIATRICS","HOME OFFICE COST","736770","561803","174967", , , , , , , , , , , , , 
 ,"31","INTENSIVE CARE UNIT","HOME OFFICE COST","2084711","1438117","646594", , , , , , , , , , , , , 
 ,"31","NEONATAL INTENSIVE CARE UNIT","HOME OFFICE COST","75675","75252","423", , , , , , , , , , , , , 
 ,"32","CORONARY CARE UNIT","HOME OFFICE COST","15569","14266","1303", , , , , , , , , , , , , 
 ,"32","CVRU","HOME OFFICE COST","839","803","36", , , , , , , , , , , , , 
 ,"34","NEURO INTENSIVE CARE UNIT","HOME OFFICE COST","42800","29910","12890", , , , , , , , , , , , , 
 ,"34","TRAUMA INTENSIVE CARE UNIT","HOME OFFICE COST","5689","5165","524", , , , , , , , , , , , , 
 ,"34","PROGRESSIVE INTENSIVE CARE UNIT","HOME OFFICE COST","3537","3163","374", , , , , , , , , , , , , 
 ,"34","PEDIATRIC INTENSIVE CARE UNIT","HOME OFFICE COST","70359","71739","-1380", , , , , , , , , , , , , 
 ,"34","EPILEPSY INTENSIVE CARE UNIT","HOME OFFICE COST","833","729","104", , , , , , , , , , , , , 
 ,"34","PEDS PROGRESSIVE INTENSIVE CARE UNI","HOME OFFICE COST","12182","9070","3112", , , , , , , , , , , , , 
 ,"34","NEONATAL PROGRESSIVE ICU","HOME OFFICE COST","5114","4511","603", , , , , , , , , , , , , 
 ,"40","SUBPROVIDER - IPF","HOME OFFICE COST","96575","89111","7464", , , , , , , , , , , , , 
 ,"41","SUBPROVIDER - IRF","HOME OFFICE COST","1694","1631","63", , , , , , , , , , , , , 
 ,"50","OPERATING ROOM","HOME OFFICE COST","703915","644442","59473", , , , , , , , , , , , , 
 ,"50","BONE MARROW TRANSPLANT","HOME OFFICE COST","4738","4199","539", , , , , , , , , , , , , 
 ,"51","RECOVERY ROOM","HOME OFFICE COST","63339","49820","13519", , , , , , , , , , , , , 
 ,"52","DELIVERY ROOM & LABOR ROOM","HOME OFFICE COST","304018","332023","-28005", , , , , , , , , , , , , 
 ,"53","ANESTHESIOLOGY","HOME OFFICE COST","9472","9230","242", , , , , , , , , , , , , 
 ,"54","RADIOLOGY-DIAGNOSTIC","HOME OFFICE COST","969750","1055845","-86095", , , , , , , , , , , , , 
 ,"55","RADIOLOGY-THERAPEUTIC","HOME OFFICE COST","771189","878932","-107743", , , , , , , , , , , , , 
 ,"56","RADIOISOTOPE","HOME OFFICE COST","16759","16850","-91", , , , , , , , , , , , , 
 ,"57","CT SCAN","HOME OFFICE COST","3877","3589","288", , , , , , , , , , , , , 
 ,"58","MRI","HOME OFFICE COST","940","888","52", , , , , , , , , , , , , 
 ,"59","CARDIAC CATHETERIZATION","HOME OFFICE COST","42334","39613","2721", , , , , , , , , , , , , 
 ,"60","LABORATORY","HOME OFFICE COST","3366119","3422709","-56590", , , , , , , , , , , , , 
 ,"60","CYTOLOGY","HOME OFFICE COST","8837","8172","665", , , , , , , , , , , , , 
 ,"60","LAB - TISSUE TYPING","HOME OFFICE COST","17330","16179","1151", , , , , , , , , , , , , 
 ,"65","RESPIRATORY THERAPY","HOME OFFICE COST","44429","41471","2958", , , , , , , , , , , , , 
 ,"66","PHYSICAL THERAPY","HOME OFFICE COST","3060","2715","345", , , , , , , , , , , , , 
 ,"69","ELECTROCARDIOLOGY","HOME OFFICE COST","54117","50521","3596", , , , , , , , , , , , , 
 ,"71","MEDICAL SUPPLIES CHARGED TO PATIENT","HOME OFFICE COST","28563","26891","1672", , , , , , , , , , , , , 
 ,"74","RENAL DIALYSIS","HOME OFFICE COST","16734","13823","2911", , , , , , , , , , , , , 
 ,"75","ASC (NON-DISTINCT PART)","HOME OFFICE COST","1195382","1350490","-155108", , , , , , , , , , , , , 
 ,"76","ORTHOPAEDIC SERVICES","HOME OFFICE COST","202","126","76", , , , , , , , , , , , , 
 ,"76","ENDOSCOPY","HOME OFFICE COST","26006","27596","-1590", , , , , , , , , , , , , 
 ,"77","CARDIAC REHABILITATION","HOME OFFICE COST","168946","192785","-23839", , , , , , , , , , , , , 
 ,"90","CLINIC","HOME OFFICE COST","532268","584001","-51733", , , , , , , , , , , , , 
 ,"90","MENTAL HEALTH O/P CLINIC","HOME OFFICE COST","149036","148476","560", , , , , , , , , , , , , 
 ,"90","CLINIC - CHILD OP RESP CTR","HOME OFFICE COST","1764684","1976096","-211412", , , , , , , , , , , , , 
 ,"90","CLINIC - ONCOLOGY","HOME OFFICE COST","3183844","3586438","-402594", , , , , , , , , , , , , 
 ,"90","CLINIC - MYERS PARK","HOME OFFICE COST","5295400","5779034","-483634", , , , , , , , , , , , , 
 ,"90","CLINIC - DENTISTRY","HOME OFFICE COST","160922","181170","-20248", , , , , , , , , , , , , 
 ,"90","CLINIC - PED RESP CTR","HOME OFFICE COST","46134","51181","-5047", , , , , , , , , , , , , 
 ,"90","CLINIC - NORTHPARK","HOME OFFICE COST","502451","537996","-35545", , , , , , , , , , , , , 
 ,"90","TEEN HEALTH CONNECTION","HOME OFFICE COST","240199","252575","-12376", , , , , , , , , , , , , 
 ,"90","WOMENS INSTITUTE","HOME OFFICE COST","727439","810622","-83183", , , , , , , , , , , , , 
 ,"90","DIABETES CENTER","HOME OFFICE COST","115742","128967","-13225", , , , , , , , , , , , , 
